row ID,row m/z,row retention time,0_AR_Blk_C18_Pos.mzML Peak area,1_AR_Arnica_C18_Pos.mzML Peak area,2_AR_Cinchona_C18_Pos.mzML Peak area,3_AR_Ginkgo_C18_Pos.mzML Peak area,4_AR_Panax_C18_Pos.mzML Peak area,5_AR_Salvia_C18_Pos.mzML Peak area
126,817.3806335554920,5.7347827,0.0,18293402.161894100,0.0,0.0,0.0,0.0
127,269.06955483384400,2.6333399000000000,0.0,19576403.881540200,0.0,0.0,0.0,0.0
128,496.3398813251030,10.7667454,0.0,19510736.321438600,1625123.2852305600,8912556.80828022,975129.4290140760,1470168.3018740500
129,355.1508035406940,6.0691444,0.0,24976362.54357380,4651.437017548880,0.0,0.0,44142.339295686400
130,337.16733119117800,13.915988166666700,10439.193815565700,33129462.222761700,4894555.711294950,1911723.0364254100,39177179.26763010,939616.8317882960
131,279.2319495704780,12.908917500000000,9519.335699648800,24640410.186058100,461170.4278635940,3520377.123332120,3582102.8400248100,96641.96190609770
132,543.1312578857140,0.189690232,0.0,10991223.80755830,4190889.873763080,14188017.67782150,17583035.161530700,7658101.643887340
133,614.4012936754630,13.9211742,0.0,27167456.067721600,1191607.6595102400,261032.51563010900,33576815.06318150,275343.68727463000
134,444.2226874764750,2.6799828,0.0,15244840.71050660,0.0,15341.639338581800,0.0,0.0
135,355.1511686527070,6.51301765,0.0,21049868.057571400,0.0,0.0,0.0,198711.25942520700
136,331.08078957552800,4.9990093,0.0,31683194.70175910,79502.85488486100,4640.85872121097,5612.01054559886,7831168.118149650
137,367.1497682199950,0.6471232720000000,0.0,22758181.36121020,8822.013802884370,2573327.1218706300,10638497.958595700,253240.1776876590
138,508.3399699903690,10.71016,0.0,19468840.287513700,8609.819160058670,1279163.79998859,9699.354792890040,26027.353046133100
139,266.15945007021600,0.181877798,0.0,13203371.740745900,1059123.576220100,311173.6079707870,801429.3535866750,1997486.6660479700
140,344.17037829568100,3.2678711666666700,0.0,16173111.539409900,0.0,0.0,41781.6411668612,3763071.3420265700
141,691.344741300859,6.2968933,0.0,19870935.440823300,0.0,0.0,0.0,0.0
142,287.6330496727700,10.5125175,0.0,19770124.17398340,708694.2494493810,2675347.374123320,388921.3108026590,0.0
